folder,filename,title,YYYYMMDD,volume,edition,issue number,page number,leading zero page number,sequence number,missing page(s)
19010812-19011101,0001.tif,The Morning Guardian,19010812,,,,1,001,0001,
19010812-19011101,0002.tif,The Morning Guardian,19010812,,,,2,002,0002,
19010812-19011101,0003.tif,The Morning Guardian,19010812,,,,3,003,0003,
19010812-19011101,0004.tif,The Morning Guardian,19010812,,,,4,004,0004,
19010812-19011101,0005.tif,The Morning Guardian,19010812,,,,5,005,0005,
19010812-19011101,0006.tif,The Morning Guardian,19010812,,,,6,006,0006,
19010812-19011101,0007.tif,The Morning Guardian,19010812,,,,7,007,0007,
19010812-19011101,0008.tif,The Morning Guardian,19010812,,,,8,008,0008,
